uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:5180:1000,LR595326.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:5880:1000,LR595680.1,100.000,149,0,0,1,149,1,149,1.85e-70,276
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:9020:1000,MK335904.1,98.675,151,2,0,1,151,9,159,3.16e-68,268
uncultured Cutibacterium sp.,FS10000603:2:BPC29607-1927:1:1101:9990:1000,MN383091.1,99.333,150,1,0,1,150,331,480,2.42e-69,272
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:10280:1010,CP038808.1,99.329,149,1,0,1,149,15495,15643,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:10280:1010,CP038808.1,99.329,149,1,0,1,149,1696836,1696688,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:10280:1010,CP038808.1,99.329,149,1,0,1,149,1794386,1794238,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:10280:1010,CP038808.1,99.329,149,1,0,1,149,1856311,1856163,8.63e-69,270
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:13650:1010,MK335904.1,98.675,151,2,0,1,151,9,159,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:14090:1010,MH556302.1,98.658,149,2,0,1,149,293,441,4.02e-67,265
Alloiococcus otitis,FS10000603:2:BPC29607-1927:1:1101:6590:1020,AY957475.1,98.658,149,2,0,1,149,323,471,4.02e-67,265
Bacillus sp. NSi03,FS10000603:2:BPC29607-1927:1:1101:7420:1020,AB811358.1,98.675,151,2,0,1,151,9,159,3.16e-68,268
uncultured Staphylococcus sp.,FS10000603:2:BPC29607-1927:1:1101:9680:1020,MN383135.1,99.324,148,1,0,1,148,280,427,3.08e-68,268
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:10300:1020,CP038808.1,99.329,149,1,0,1,149,15495,15643,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:10300:1020,CP038808.1,99.329,149,1,0,1,149,1696836,1696688,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:10300:1020,CP038808.1,99.329,149,1,0,1,149,1794386,1794238,8.63e-69,270
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:10300:1020,CP038808.1,99.329,149,1,0,1,149,1856311,1856163,8.63e-69,270
Escherichia coli,FS10000603:2:BPC29607-1927:1:1101:14290:1020,MN208135.1,98.675,151,1,1,1,150,80,230,1.13e-67,267
uncultured Mycoplasma sp.,FS10000603:2:BPC29607-1927:1:1101:16000:1020,MK588844.1,98.675,151,2,0,1,151,11,161,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:2100:1030,LC336355.1,99.338,151,0,1,1,150,3,153,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:9880:1030,LC336355.1,99.338,151,1,0,1,151,3,153,6.79e-70,274
